Ticket Number;Subject;Status;Centros de cultivo Multi X;Centro de cultivo Aquachile;Centro de Cultivo Salmones Aysen;Department;Type;Priority;Owner;Organizations;Assigned Agent;Source;Creator;Resolved In(in minutes);First Replied At;Created At;Updated At;Closed At;Description;Categoría de Problema;Centros de cultivo Caleta Bay;Dispositivo;Radares;Dispositivo;Dispositivo;PC;Grabación de Cámaras;Proveedor de internet;C.M FALLA;Ticket Link
ORCA-AAAA-1342;Re: Sin senal de camara y radar CANALAD 1;Abierto;;;;Soporte;;Alta;Raul  Dodero;;;Email;Raul  Dodero;;;octubre 09, 2024 3:50 PM;octubre 09, 2024 8:15 PM;;"Buenos dias:Estimados, recordar que este sistema se está visualizando mediante VLC momentáneamente, favor verificar si el reproductor sigue operativo en el monitor, de todas maneras soporte revisará lo que nos indican.Saludos cordiales El mié, 9 de oct de 2024, 5:39 a. m., Vigilancia2 &lt;vigilancia2@aquachile.com&gt; escribió:Estimados buenos días. Se les informa que estamos sin visual de cámaras y radar en la central, si presentan algún problema técnico, de internet o de energía  favor de revisar ya que el centro se encuentra fuera de línea y es indispensable el monitoreo nocturno. Quedo atento a sus comentarios. Atte.Ricardo Sagredo Nahuelhual.Protección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com";;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1341;test3;Cerrado;;;;Soporte;;Alta;cristian espinoza;Salmones Aysen;;Email;cristian espinoza;3;;octubre 08, 2024 7:40 PM;octubre 08, 2024 7:43 PM;octubre 08, 2024 7:43 PM;teste de prueba;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1340;test2;Cerrado;;;;Soporte;;Normal;cristian espinoza;Salmones Aysen;;Agent;demo admin;1;;octubre 08, 2024 7:37 PM;octubre 08, 2024 7:38 PM;octubre 08, 2024 7:38 PM;test2;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1339;test;Cerrado;;;;Soporte;;Normal;cristian espinoza;Salmones Aysen;;Agent;demo admin;7;;octubre 08, 2024 7:22 PM;octubre 08, 2024 7:29 PM;octubre 08, 2024 7:29 PM;test;Cámaras;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1327;Mantencion camara de silo Canalad 1;Cerrado;;canalad 1;;Soporte;;Alta;Raul  Dodero;;;Email;Raul  Dodero;21778;;septiembre 16, 2024 6:30 PM;octubre 07, 2024 9:28 PM;octubre 07, 2024 9:28 PM;Buenos días:Don Hector, en revisión rutinaria de las cámaras, personal de soporte se percató de que la cámara de silo instalada en Canalad 1, fue golpeada por un maxisaco, esta cámara no solo se soltó sino que además quedó colgando, por lo que sí o sí será necesario llevar a cabo visita para poder cambiarla.Le dejamos un fragmento de video en el adjunto para su revisión.Quedamos atentos.Saludos cordiales ;Cámaras;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1301;Mantencion camara de silo Pangal 3;Cerrado;;Pangal 3;;Soporte;;Alta;Raul  Dodero;;;Email;Raul  Dodero;56147;;agosto 13, 2024 9:40 PM;octubre 07, 2024 9:27 PM;octubre 07, 2024 9:27 PM;Buenos días:Don Hector, en revisión rutinaria de las cámaras, personal de soporte se percató de que la cámara de silo instalada en Pangal 3, fue golpeada por un maxisaco, al parecer esto aflojó la sujeción y posteriormente una gaviota se para sobre ella para dejarla enfocando el techo, por la ubicación e inclinación de dicho techo sería complejo que personal en el centro nos preste apoyo.¿Existe la posibilidad de que personal de mantención del área nos ayude con el apriete de la sujeción? para tener que evitar enviar personal técnico a corregir dicha visual, esto con la finalidad de evitar los costos asociados por enviar personal.Quedamos atentos, muchas gracias de antemano.Saludos cordiales. ;Cámaras;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1337;RE: Faenas Nocturnas y Pernoctaciones.;Cerrado;;;;Soporte;;Alta;central monitoreo aquachile;Aquachile;;Email;central monitoreo aquachile;2382;;octubre 04, 2024 5:45 AM;octubre 07, 2024 9:27 PM;octubre 07, 2024 9:27 PM;"Buenas Noches:Se informa que centro Jesús 9 se encuentra sin visual local como se detalla en correo de arrastre, favor revisar.Atentos a sus alcances.SaludosBetsy Yefi N.Protección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.comDe: Centro Jesus9 &lt;cjesus9@aquachile.com&gt;Enviado: jueves, 3 de octubre de 2024 17:45Para: Vigilancia2 &lt;vigilancia2@aquachile.com&gt;Asunto: RE: Faenas Nocturnas y Pernoctaciones. Buenas tardes, no se realizarán faenas nocturnas y tampoco pernoctarán embarcaciones. Además, se informa no tenemos visual de las cámaras por el centro.  Saludos CordialesAtte.Cristian Poblete.Centro Jesus 9Empresa AquaChile S.AKm. 4 Ruta Aysén-Chacabuco, Puerto AysénCel. +56 9 78893484www.aquachile.com   De: Vigilancia2 &lt;vigilancia2@aquachile.com&gt;Enviado el: jueves, 3 de octubre de 2024 16:56Para: Centros Octubre &lt;centrosseptiembre@aquachile.com&gt;CC: Hector Castillo Valderas &lt;hector.castillo@aquachile.com&gt;; Raúl Pellizzari &lt;raul.pellizzari@aquachile.com&gt;Asunto: Faenas Nocturnas y Pernoctaciones. Estimados, Buenas Tardes Se les informa que los correos de Faenas Nocturnas y Pernoctaciones deben ser enviados antes de las 22:00hrs. Se debe informar embarcaciones a pernoctar y/o faenas nocturnas a realizar.   RECOMENDACIONES ANTE INGRESOS NO AUTORIZADOS Y SINIESTROS INTENCIONALES A CONCESIONES MARÍTIMAS EN PRODUCCION:En caso de que una embarcación recale sin autorización en un módulo en producción con intenciones de generar daños o sustraer activos, se recomienda:  1.- No enfrentarse bajo ninguna circunstancia a los intrusos.2.- Intentar hacer contacto vía radial con la embarcación, dejando registro de los horarios y de una eventual respuesta.3.- Informar de inmediato por el medio más expedito a la Sala de Monitores Aqua Chile, fonos 652433784, +56939267533, +56944049232, +56940737486, correo vigilancia2@aquachile.com.4.- Informar de inmediato a la Cap. puerto correspondiente.5.- No encender linternas de mano desde el pontón hacia el módulo. Tampoco encender luces interiores en el Puente. Solo encender luces exteriores.6.- En caso de tomar conocimiento por la activación de alarmas sonoras de manera remota desde la Sala de Monitores, el procedimiento es el mismo.7.- No ingresar al módulo, hasta tener certeza absoluta de que los intrusos se retiraron y jamás una persona en solitario.8.- Al momento de ingresar al módulo, levantar un registro fotográfico de todos los hallazgos. Este registro debe hacerse de lo general a lo particular. Debe constar en las mismas condiciones que haya sido dejado por los intrusos. (cortes de redes o sellos, herramientas, pasillos con escamas o sangre, pintura por apego, perimetrales doblados, etc.).  Este registro debe ser lo más inmediato al evento y luego con luz día, siempre que la espera no ponga en riesgo la biomasa o la infraestructura.  Cualquier herramienta usada en la acción, debe quedar bajo custodia del encargado del centro.9.- Dejar registro detallado y cronológico de los sucesos y de las todas las personas que se encuentran en la unidad productiva, considerando a los externos y servicios.10.- Los sistemas de radares y de seguridad no pueden ser manipulados en sus cámaras, ni para descargar grabaciones. RECORDATORIO: cada vez que se produzca algún daño a los equipos de seguridad (cámaras Orca o AST), por golpes al momento de las descargas de alimento, se debe avisar inmediatamente a HECTOR CASTILLO, con copia a vigilancia2, y tomar antecedentes de la embarcación que provoco los daños, de no ser así se realizaran los cobros a Centro costo de cada Centro. Quedo atenta a sus comentarios.  Saludos cordiales, Maryoret Miranda.Protección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com";;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1336;Monitor Orca centro Jesus 9.;Pendiente Mantención Terreno;;;;Soporte;;Alta;central monitoreo aquachile;Aquachile;Raul  Dodero;Email;central monitoreo aquachile;;septiembre 29, 2024 2:05 AM;septiembre 29, 2024 1:55 AM;octubre 07, 2024 9:26 PM;;Estimados buenas tardes, me indica don Mauricio Arcos de centro @Centro Jesus9 que el monitor se encuentra sin visual, favor su ayuda.  Se adjunta numero: 992911762. Saludos cordiales,Maryoret Miranda.Protección de ActivosEmpresas AquaChile S.A.Cardonal s/n, Puerto Montt, Chile Tel.  Cel/+56939267533www.aquachile.comvigilancia2@aquachile.com;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1338;Centro Teupa.;Cerrado;;;;Soporte;;Alta;Central Seguridad_Say;Salmones Aysen;;Email;Central Seguridad_Say;1287;;octubre 05, 2024 12:55 PM;octubre 07, 2024 9:26 PM;octubre 07, 2024 9:26 PM; Se perdida de visual de Centro Teupa a las 03:42 Hrs aprox, se realiza prueba de ping para descarta caída de señal de internet.En virtud de la Ley Nº20.393 sobre Responsabilidad Penal de las Personas Jurídicas, Salmones Aysén S.A. tiene implementado un Modelo de Prevención de Delitos. Por medio del presente, informamos a los terceros con quienes nos relacionamos, que se encuentra estrictamente prohibido la realización de cualquier acto que implique la comisión de alguno de los delitos señalados en el artículo 1° de la Ley N°20.393. Debido a lo anterior, toda comunicación través de correos electrónicos, entre los trabajadores de Salmones Aysén y funcionarios públicos, clientes y/o proveedores, debe realizarse utilizando las direcciones de correo electrónico institucionales.According to Law No. 20,393 on Criminal Responsibility of Legal Entities, Salmones Aysén S.A. has implemented a Crime Prevention Model. Through this, we inform the third parties with whom we relate, that it is strictly prohibited to carry out any act that implies the commission of any of the crimes indicated in article 1 of Law No. 20,393. Therefore, all communication via email between Salmones Aysén workers and public officials, customers and/or suppliers must be done using institutional email addresses.;;;;;;;;;Click here to view ticket;;
ORCA-AAAA-1308;Mantencion camara de silo Cuptana 4;Cerrado;;cuptana 4;;Soporte;;Alta;Raul  Dodero;;;Email;Raul  Dodero;37256;;agosto 28, 2024 9:40 PM;octubre 03, 2024 6:37 PM;octubre 03, 2024 6:37 PM;Buenas tardes:Don Hector, en revisión rutinaria de las cámaras, personal de soporte se percató de que la cámara de silo instalada en Cuptana 4, fue golpeada por un maxisaco, esta cámara no solo se soltó sino que además se vió afectada la calidad de la imagen por lo que se programará visita aprovechando que personal viaja al área Melinka.Le dejamos un fragmento de video en el adjunto para su revisión.Quedamos atentos.Saludos cordiales--  ;Cámaras;;;;;;;;Click here to view ticket;;
